地名,センター,可燃ごみ,不燃・粗大,びん,缶,ペットボトル
神沢,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
蒲原堰沢,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
中区inかんばら,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
小金,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
堀川,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
新諏訪,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
蒲原新田（ＪＲ以南の集積所）,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
蒲原西町（ＪＲ以南の集積所）,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
蒲原柵（ＪＲ以南の集積所）,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
高浜,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
蒲原白銀,東部管理センター,火 金,水3,20151202 20160106 20160203 20160302,20151209 20160113 20160210 20160309,20151216 20160120 20160217 20160316
蒲原新田（ＪＲ以北の集積所）,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原西町（ＪＲ以北の集積所）,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原柵（ＪＲ以北の集積所）,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
善福寺,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
本町,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原天王町,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原八幡町,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原諏訪町,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原新栄,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原日の出,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
蒲原東町,東部管理センター,火 金,水3,20151203 20160107 20160204 20160303,20151210 20160114 20160211 20160310,20151217 20160121 20160218 20160317
由比,東部管理センター,火 金,木3,20151223 20160127 20160224 20160323,20151204 20160104 20150201 20160307,20151202 20160106 20160203 20160302
由比阿僧,東部管理センター,火 金,木3,20151223 20160127 20160224 20160323,20151204 20160104 20150201 20160307,20151202 20160106 20160203 20160302
由比東山寺,東部管理センター,火 金,木3,20151223 20160127 20160224 20160323,20151204 20160104 20150201 20160307,20151202 20160106 20160203 20160302
由比室野,東部管理センター,火 金,木3,20151223 20160127 20160224 20160323,20151204 20160104 20150201 20160307,20151202 20160106 20160203 20160302
由比入山,東部管理センター,火 金,木3,20151223 20160127 20160224 20160323,20151204 20160104 20150201 20160307,20151202 20160106 20160203 20160302
由比北田,東部管理センター,火 金,木3,20151224 20160128 20160225 20160324,20151204 20160104 20150201 20160307,20151203 20160104 20150204 20160303
由比町屋原,東部管理センター,火 金,木3,20151224 20160128 20160225 20160324,20151204 20160104 20150201 20160307,20151203 20160104 20150204 20160303
由比今宿,東部管理センター,火 金,木3,20151224 20160128 20160225 20160324,20151204 20160104 20150201 20160307,20151203 20160104 20150204 20160303
由比寺尾,東部管理センター,火 金,木3,20151224 20160128 20160225 20160324,20151204 20160104 20150201 20160307,20151203 20160104 20150204 20160303
由比倉沢,東部管理センター,火 金,木3,20151224 20160128 20160225 20160324,20151204 20160104 20150201 20160307,20151203 20160104 20150204 20160303
由比西山寺,東部管理センター,火 金,木3,20151224 20160128 20160225 20160324,20151204 20160104 20150201 20160307,20151203 20160104 20150204 20160303
